text,language,code_switching,intent
"मुझे अपना ऑर्डर कैंसल करना है।",Hindi,No,Order Cancellation
"मुझे अपना order track करना है।",Hindi-English,Yes,Order Tracking
"Can you help me with my payment?",English,No,Payment Support
"माझा order अजून आला नाही.",Marathi-English,Yes,Delivery Issue
"मुझे password reset करना है।",Hindi-English,Yes,Password Reset
"Please check my account details.",English,No,Account Support
"मला माझा order cancel करायचा आहे.",Marathi-English,Yes,Order Cancellation
"यह product बहुत अच्छा है।",Hindi-English,Yes,Positive Feedback
"I need help with my account.",English,No,Account Support
"माझं payment failed झालं.",Marathi-English,Yes,Payment Issue
